name	Station	Depth	Eddy	Temperature(¡æ)	Salinity	Turbidity	DIN(¦Ìmol/L)	DRP(¦Ìmol/L)	Chl a (10^-2 ¦Ìg/L)	Synechococcus(10^3 cells/mL)	Picoeukaryote(10^3 cells/mL)	Prochlorococcus (10^5 cells/mL)	Bacteria(10^5 cells/mL)	Virus(10^6 particles/mL)	Total NP (cells/mL)	Total HNF (cells/mL)	Total NE (cells/mL)	POC (mg/m^3)
A5D200	A5	200	Eddy	15.5993	34.5738	1.9246	16.27	1.11	NA	NA	NA	NA	0.76025	0.478537	23.08823529	98.125	121.2132353	28.3565159
A6D200	A6	200	Eddy	14.7143	34.552	1.9676	15.06	1.01	NA	NA	NA	NA	0.8185	0.451029	34.63235294	75.03676472	109.6691177	27.07135007
A7D200	A7	200	Eddy	16.0676	34.5891	0.0238	14.52	1.01	NA	NA	NA	NA	0.8525	0.53971	11.54411765	75.03676471	86.58088236	25.33463099
F2D200	F2	200	Eddy	14.9492	34.554	1.1195	19.64	1.02	NA	NA	NA	NA	0.883	0.585246	5.772058824	139	144.7720588	26.88317679
F3D200	F3	200	Eddy	16.7627	34.586	0.0239	16.78	0.74	NA	NA	NA	NA	1.28325	0.382002	11.54411765	190.4779411	202.0220588	26.57409284
FF2D200	FF2	200	Eddy	16.4222	34.577	1.0787	17.29	0.93	NA	NA	NA	NA	0.9635	0.588221	17.31617647	161.6176471	178.9338236	25.52589227
FF4D200	FF4	200	Eddy	15.8107	34.5737	1.146	18.24	0.94	NA	NA	NA	NA	0.852	0.460917	23.55942377	188.4753902	212.034814	25.5625782
H3D200	H3	200	Eddy	16.2838	34.5832	1.9352	14.11	0.95	NA	NA	NA	NA	0.883	0.291516	34.63235294	161.617647	196.2499999	26.55882834
B4D500	B4	500	Ref.	8.3728	34.417	1.9828	30.98	1.7	NA	NA	NA	NA	0.759	0.21293	5.772058824	121.2132353	126.9852941	25.95095443
B5D500	B5	500	Ref.	8.1912	34.3816	1.9997	28.98	1.86	NA	NA	NA	NA	0.504	0.192153	2.886029412	75.03676471	77.92279412	25.95095443
B6D500	B6	500	Ref.	7.8183	34.3977	1.9712	30.58	1.97	NA	NA	NA	NA	1.1795	0.169038	2.886029412	54.83455881	57.72058822	24.13433646
B7D500	B7	500	Ref.	8.1529	34.4051	1.965	29.87	1.88	NA	NA	NA	NA	0.608	0.276454	3.607536765	54.11305146	57.72058823	22.83825491
B8D500	B8	500	Ref.	8.6803	34.404	1.9684	27.88	1.78	NA	NA	NA	NA	2.5375	0.201157	0	54.83455882	54.83455882	21.21504401
C1D500	C1	500	Ref.	9.0039	34.4187	2.0228	28.95	1.82	NA	NA	NA	NA	1.03875	0.165502	9.620098039	105.8210784	115.4411764	24.49040031
C3D500	C3	500	Ref.	8.3962	34.4209	2.0154	30.26	1.93	NA	NA	NA	NA	0.721	0.273596	2.886029412	121.2132353	124.0992647	21.90026283
C5D500	C5	500	Ref.	8.6953	34.4202	1.9694	29.25	1.83	NA	NA	NA	NA	0.689	0.130996	2.886029412	121.2132353	124.0992647	20.78841974
E4D500	E4	500	Ref.	8.2742	34.4215	1.985	29.66	1.89	NA	NA	NA	NA	2.0055	0.346722	5.772058824	34.63235294	40.40441176	23.30099105
A4D500	A4	500	Eddy	8.9086	34.4246	2.0655	27.07	1.47	NA	NA	NA	NA	0.87275	0.120626	11.54411765	63.49264705	75.0367647	26.41499331
A5D500	A5	500	Eddy	9.0212	34.4216	2.0214	27.11	1.58	NA	NA	NA	NA	0.803	0.221184	5.772058824	51.94852941	57.72058823	27.58199885
A6D500	A6	500	Eddy	8.6665	34.4202	1.9756	28.03	1.75	NA	NA	NA	NA	0.6515	0.229512	28.86029412	121.2132353	150.0735294	26.84189604
A7D500	A7	500	Eddy	8.6419	34.422	0.0235	27.14	1.53	NA	NA	NA	NA	1.1675	NA	0	92.35294118	92.35294118	25.40330889
F2D500	F2	500	Eddy	8.5671	34.4169	1.1559	28.19	1.73	NA	NA	NA	NA	1.2195	0.240757	5.772058824	75.0367647	80.80882352	26.12134174
F3D500	F3	500	Eddy	8.8205	34.4178	0.0239	28.03	1.69	NA	NA	NA	NA	0.985	0.195734	5.772058824	132.7573529	138.5294117	25.06735803
FF2D500	FF2	500	Eddy	8.9327	34.4117	1.1617	28.38	1.3	NA	NA	NA	NA	0.6105	0.198938	5.772058824	126.9852941	132.7573529	24.09539033
FF4D500	FF4	500	Eddy	8.9859	34.4129	1.0798	28.51	1.57	NA	NA	NA	NA	0.663	0.245269	11.54411765	144.3014706	155.8455883	24.33589938
H3D500	H3	500	Eddy	8.92	34.4216	1.9911	28.46	1.69	NA	NA	NA	NA	0.823	0.103679	5.772058824	51.94852942	57.72058824	25.35591318
